,infect_symptomatic,infect_asymptomatic,trans_counts_to_pat,trans_counts_to_hcw
0,4,,0,4
1,0,,0,0
2,0,,0,0
3,1,,0,1
4,0,,0,0
5,,0,0,0
6,0,,0,0
7,0,,0,0
8,1,,0,1
9,0,,0,0
10,1,,0,1
11,,1,0,1
12,0,,0,0
13,2,,0,2
14,0,,0,0
15,0,,0,0
16,0,,0,0
17,4,,0,4
18,1,,0,1
19,0,,0,0
20,,2,0,2
21,1,,0,1
22,1,,0,1
23,,0,0,0
24,,3,0,3
25,0,,0,0
26,0,,0,0
27,1,,0,1
28,1,,0,1
29,,0,0,0
30,0,,0,0
31,0,,0,0
32,1,,0,1
33,4,,0,4
34,0,,0,0
35,0,,0,0
36,,0,0,0
37,2,,0,2
38,,0,0,0
39,0,,0,0
40,1,,0,1
41,0,,0,0
42,0,,0,0
43,0,,0,0
44,0,,0,0
45,,0,0,0
46,0,,0,0
47,0,,0,0
48,0,,0,0
49,0,,0,0
50,0,,0,0
51,,0,0,0
52,0,,0,0
53,0,,0,0
54,0,,0,0
55,0,,0,0
56,,0,0,0
57,0,,0,0
58,2,,0,2
59,0,,0,0
60,,0,0,0
61,2,,0,2
62,1,,0,1
63,0,,0,0
64,0,,0,0
65,0,,0,0
66,0,,0,0
67,,0,0,0
68,0,,0,0
69,0,,0,0
70,0,,0,0
71,0,,0,0
72,0,,0,0
73,0,,0,0
74,0,,0,0
75,0,,0,0
76,0,,0,0
77,0,,0,0
78,0,,0,0
79,1,,0,1
80,0,,0,0
81,0,,0,0
82,0,,0,0
83,2,,0,2
84,0,,0,0
85,0,,0,0
86,0,,0,0
87,0,,0,0
88,1,,0,1
89,0,,0,0
90,0,,0,0
91,0,,0,0
92,2,,0,2
93,0,,0,0
94,0,,0,0
95,0,,0,0
96,0,,0,0
97,0,,0,0
98,2,,0,2
99,0,,0,0
100,0,,0,0
101,0,,0,0
102,0,,0,0
103,0,,0,0
104,1,,0,1
105,,2,0,2
106,1,,0,1
107,1,,0,1
108,,0,0,0
109,0,,0,0
110,0,,0,0
111,1,,0,1
112,2,,0,2
113,,0,0,0
114,0,,0,0
115,0,,0,0
116,0,,0,0
117,0,,0,0
118,0,,0,0
119,0,,0,0
120,0,,0,0
121,0,,0,0
122,0,,0,0
123,1,,0,1
124,0,,0,0
125,0,,0,0
126,0,,0,0
127,0,,0,0
128,2,,0,2
129,0,,0,0
130,0,,0,0
131,0,,0,0
132,0,,0,0
133,6,,0,6
134,0,,0,0
135,0,,0,0
136,1,,0,1
137,2,,0,2
138,0,,0,0
139,0,,0,0
140,0,,0,0
141,0,,0,0
142,,0,0,0
143,0,,0,0
144,0,,0,0
145,0,,0,0
146,0,,0,0
147,0,,0,0
148,0,,0,0
149,0,,0,0
150,0,,0,0
151,0,,0,0
152,0,,0,0
153,0,,0,0
154,0,,0,0
155,0,,0,0
156,0,,0,0
157,,0,0,0
158,0,,0,0
159,0,,0,0
160,0,,0,0
161,0,,0,0
162,0,,0,0
163,0,,0,0
164,1,,0,1
165,0,,0,0
166,0,,0,0
167,0,,0,0
168,0,,0,0
169,0,,0,0
170,0,,0,0
171,0,,0,0
172,0,,0,0
173,0,,0,0
174,0,,0,0
175,0,,0,0
176,0,,0,0
177,0,,0,0
178,,1,0,1
179,0,,0,0
180,0,,0,0
181,0,,0,0
182,0,,0,0
183,0,,0,0
184,1,,0,1
185,0,,0,0
186,0,,0,0
187,0,,0,0
188,0,,0,0
189,1,,0,1
190,4,,0,4
191,0,,0,0
192,0,,0,0
193,2,,0,2
194,0,,0,0
195,0,,0,0
196,1,,0,1
197,0,,0,0
198,0,,0,0
199,0,,0,0
200,0,,0,0
201,0,,0,0
202,,0,0,0
203,0,,0,0
204,0,,0,0
205,0,,0,0
206,1,,0,1
207,0,,0,0
208,0,,0,0
209,0,,0,0
210,0,,0,0
211,0,,0,0
212,0,,0,0
213,0,,0,0
214,0,,0,0
215,0,,0,0
216,0,,0,0
217,0,,0,0
218,0,,0,0
219,0,,0,0
220,0,,0,0
221,0,,0,0
222,0,,0,0
223,1,,0,1
224,1,,0,1
225,0,,0,0
226,0,,0,0
227,0,,0,0
228,1,,0,1
229,0,,0,0
230,1,,0,1
231,0,,0,0
232,,0,0,0
233,0,,0,0
234,0,,0,0
235,0,,0,0
236,0,,0,0
237,0,,0,0
238,1,,0,1
239,,0,0,0
240,0,,0,0
241,0,,0,0
242,0,,0,0
243,0,,0,0
244,2,,0,2
245,0,,0,0
246,0,,0,0
247,1,,0,1
248,0,,0,0
249,0,,0,0
250,0,,0,0
251,0,,0,0
252,0,,0,0
253,0,,0,0
254,0,,0,0
255,3,,0,3
256,0,,0,0
257,1,,0,1
258,0,,0,0
259,0,,0,0
260,0,,0,0
261,0,,0,0
262,1,,0,1
263,1,,0,1
264,0,,0,0
265,0,,0,0
266,0,,0,0
267,0,,0,0
268,0,,0,0
269,2,,0,2
270,0,,0,0
271,0,,0,0
272,0,,0,0
273,0,,0,0
274,0,,0,0
275,0,,0,0
276,0,,0,0
