,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,7.0,10.0,15.0,14.0,14.0,8.0,9.0,11.0,12.0,13.0,12.0,7.0,8.0,6.0,7.0,9.0,9.0,13.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,8.0,11.0,15.0,13.0,12.0,9.0,10.0,8.0,10.0,12.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,13.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,8.0,13.0,13.0,9.0,10.0,11.0,9.0,10.0,10.0,11.0,9.0,13.0,12.0,12.0,9.0,12.0,9.0,15.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,10.0,11.0,14.0,6.0,8.0,12.0,10.0,12.0,9.0,9.0,9.0,11.0,11.0,12.0,8.0,13.0,11.0,16.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,13.0,14.0,14.0,11.0,9.0,12.0,11.0,11.0,10.0,10.0,11.0,10.0,14.0,10.0,9.0,14.0,14.0,13.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,12.0,11.0,14.0,8.0,9.0,12.0,11.0,12.0,13.0,11.0,12.0,10.0,11.0,11.0,8.0,12.0,13.0,13.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,12.0,12.0,15.0,13.0,15.0,11.0,9.0,9.0,13.0,13.0,12.0,10.0,11.0,13.0,8.0,11.0,13.0,12.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,13.0,12.0,14.0,14.0,19.0,10.0,10.0,10.0,14.0,12.0,10.0,11.0,13.0,14.0,13.0,11.0,11.0,13.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,15.0,13.0,13.0,15.0,16.0,9.0,10.0,9.0,14.0,8.0,9.0,12.0,12.0,14.0,16.0,15.0,11.0,14.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,17.0,10.0,15.0,11.0,14.0,12.0,17.0,13.0,14.0,7.0,9.0,13.0,12.0,9.0,14.0,17.0,12.0,11.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,16.0,12.0,14.0,11.0,15.0,14.0,13.0,11.0,12.0,10.0,13.0,13.0,12.0,10.0,12.0,16.0,14.0,12.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,13.0,13.0,14.0,13.0,13.0,14.0,12.0,13.0,12.0,10.0,13.0,13.0,15.0,12.0,10.0,10.0,15.0,11.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,12.0,14.0,15.0,13.0,12.0,12.0,10.0,11.0,12.0,14.0,9.0,7.0,14.0,13.0,13.0,8.0,12.0,15.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,14.0,11.0,15.0,13.0,12.0,11.0,11.0,12.0,11.0,13.0,10.0,7.0,10.0,15.0,12.0,9.0,8.0,15.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,14.0,13.0,14.0,12.0,12.0,10.0,14.0,9.0,12.0,13.0,10.0,8.0,6.0,11.0,12.0,11.0,10.0,14.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,13.0,14.0,13.0,14.0,10.0,13.0,15.0,9.0,11.0,14.0,15.0,13.0,8.0,11.0,11.0,11.0,12.0,9.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,11.0,15.0,10.0,15.0,11.0,13.0,13.0,9.0,10.0,13.0,12.0,14.0,13.0,8.0,12.0,11.0,12.0,9.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,10.0,16.0,14.0,14.0,12.0,12.0,12.0,11.0,12.0,14.0,13.0,11.0,17.0,9.0,15.0,14.0,10.0,11.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,13.0,15.0,15.0,10.0,14.0,9.0,13.0,12.0,12.0,13.0,13.0,11.0,13.0,14.0,13.0,12.0,8.0,17.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0,11.0,16.0,8.0,13.0,11.0,14.0,13.0,16.0,14.0,12.0,11.0,11.0,15.0,11.0,12.0,10.0,16.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,16.0,13.0,15.0,10.0,13.0,12.0,12.0,14.0,13.0,10.0,12.0,13.0,12.0,15.0,13.0,11.0,14.0,14.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,15.0,11.0,15.0,14.0,14.0,16.0,14.0,14.0,13.0,10.0,12.0,14.0,12.0,13.0,11.0,14.0,13.0,9.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,15.0,16.0,13.0,15.0,14.0,16.0,12.0,15.0,9.0,10.0,11.0,11.0,13.0,11.0,11.0,13.0,9.0,10.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,14.0,15.0,12.0,13.0,15.0,13.0,13.0,12.0,9.0,10.0,8.0,12.0,11.0,10.0,9.0,13.0,8.0,8.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,16.0,13.0,17.0,13.0,11.0,15.0,11.0,13.0,11.0,11.0,14.0,8.0,11.0,13.0,13.0,12.0,13.0,11.0,13.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,13.0,15.0,14.0,11.0,13.0,7.0,11.0,9.0,12.0,14.0,10.0,12.0,12.0,14.0,12.0,13.0,11.0,13.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,10.0,13.0,16.0,14.0,14.0,9.0,10.0,10.0,14.0,16.0,14.0,13.0,15.0,15.0,13.0,10.0,11.0,12.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,10.0,11.0,17.0,14.0,13.0,12.0,6.0,8.0,15.0,15.0,13.0,13.0,13.0,12.0,15.0,9.0,12.0,11.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,11.0,12.0,16.0,13.0,13.0,13.0,8.0,9.0,12.0,11.0,11.0,13.0,11.0,12.0,11.0,8.0,12.0,8.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,14.0,13.0,14.0,13.0,11.0,13.0,10.0,12.0,12.0,10.0,8.0,11.0,10.0,11.0,12.0,9.0,11.0,7.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,16.0,13.0,14.0,13.0,11.0,9.0,9.0,12.0,11.0,6.0,10.0,12.0,9.0,12.0,12.0,9.0,10.0,9.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,14.0,10.0,13.0,13.0,11.0,11.0,11.0,13.0,10.0,6.0,11.0,11.0,8.0,14.0,15.0,10.0,12.0,11.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,9.0,7.0,11.0,10.0,15.0,12.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,14.0,12.0,14.0,15.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,8.0,7.0,10.0,12.0,16.0,15.0,14.0,12.0,12.0,12.0,11.0,11.0,12.0,13.0,11.0,12.0,12.0,14.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,9.0,11.0,11.0,13.0,14.0,14.0,12.0,11.0,13.0,13.0,9.0,13.0,15.0,13.0,9.0,13.0,11.0,11.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,14.0,12.0,10.0,16.0,12.0,14.0,12.0,7.0,13.0,13.0,14.0,15.0,16.0,11.0,10.0,12.0,10.0,12.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,14.0,16.0,11.0,10.0,9.0,11.0,10.0,9.0,12.0,12.0,13.0,13.0,13.0,12.0,9.0,11.0,13.0,10.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,14.0,18.0,12.0,10.0,11.0,11.0,11.0,12.0,11.0,12.0,11.0,13.0,10.0,10.0,12.0,10.0,13.0,11.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,12.0,17.0,11.0,8.0,13.0,11.0,11.0,15.0,11.0,8.0,10.0,13.0,9.0,9.0,11.0,10.0,11.0,12.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,13.0,12.0,12.0,13.0,12.0,17.0,13.0,9.0,14.0,11.0,8.0,10.0,11.0,10.0,12.0,13.0,11.0,11.0,9.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,12.0,8.0,12.0,11.0,15.0,13.0,9.0,10.0,10.0,9.0,12.0,10.0,12.0,12.0,13.0,14.0,10.0,13.0
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,15.0,6.0,14.0,12.0,13.0,12.0,10.0,7.0,12.0,9.0,10.0,9.0,12.0,13.0,12.0,15.0,8.0,11.0
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,14.0,11.0,13.0,12.0,13.0,9.0,12.0,8.0,10.0,11.0,11.0,11.0,11.0,14.0,12.0,14.0,9.0,11.0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,13.0,13.0,13.0,13.0,12.0,13.0,14.0,11.0,13.0,10.0,12.0,13.0,14.0,15.0,14.0,12.0,12.0,12.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.0,13.0,12.0,11.0,13.0,12.0,9.0,13.0,13.0,14.0,11.0,11.0,11.0,16.0,16.0,12.0,10.0,14.0,10.0
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,14.0,11.0,12.0,12.0,13.0,13.0,15.0,12.0,15.0,12.0,13.0,12.0,10.0,12.0,11.0,12.0,12.0,10.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,15.0,14.0,16.0,15.0,14.0,10.0,13.0,13.0,14.0,12.0,14.0,10.0,8.0,13.0,11.0,14.0,13.0,11.0
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,13.0,13.0,16.0,15.0,14.0,12.0,9.0,14.0,11.0,12.0,11.0,12.0,9.0,10.0,13.0,11.0,11.0,11.0
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,11.0,14.0,14.0,15.0,14.0,10.0,8.0,13.0,12.0,10.0,11.0,12.0,8.0,12.0,13.0,7.0,11.0,15.0
