,Day,total_screened,positive_detected
0,63.0,870.0,0.0
1,70.0,870.0,3.0
2,77.0,873.0,9.0
3,84.0,879.0,29.0
4,91.0,891.0,40.0
5,98.0,894.0,58.0
6,105.0,910.0,54.0
7,112.0,902.0,26.0
8,119.0,882.0,17.0
9,126.0,877.0,11.0
10,133.0,876.0,3.0
11,140.0,871.0,0.0
12,147.0,870.0,0.0
13,154.0,870.0,2.0
14,161.0,872.0,0.0
15,168.0,870.0,0.0
16,175.0,870.0,1.0
17,182.0,871.0,0.0
18,189.0,870.0,2.0
19,196.0,872.0,1.0
20,203.0,870.0,2.0
21,210.0,872.0,1.0
22,217.0,871.0,1.0
23,224.0,871.0,3.0
24,231.0,871.0,1.0
25,238.0,870.0,2.0
