,occupied_bed
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,1.0
68,1.0
69,1.0
70,1.0
71,2.0
72,2.0
73,1.0
74,1.0
75,2.0
76,2.0
77,8.0
78,9.0
79,12.0
80,17.0
81,21.0
82,21.0
83,27.0
84,31.0
85,36.0
86,42.0
87,49.0
88,55.0
89,61.0
90,61.0
91,67.0
92,76.0
93,80.0
94,89.0
95,91.0
96,84.0
97,80.0
98,77.0
99,77.0
100,79.0
101,77.0
102,72.0
103,65.0
104,65.0
105,64.0
106,64.0
107,65.0
108,64.0
109,60.0
110,56.0
111,57.0
112,57.0
113,50.0
114,45.0
115,42.0
116,42.0
117,38.0
118,38.0
119,37.0
120,36.0
121,35.0
122,33.0
123,31.0
124,30.0
125,28.0
126,28.0
127,25.0
128,22.0
129,21.0
130,20.0
131,18.0
132,18.0
133,18.0
134,17.0
135,17.0
136,17.0
137,17.0
138,16.0
139,15.0
140,16.0
141,16.0
142,13.0
143,12.0
144,13.0
145,14.0
146,13.0
147,13.0
148,14.0
149,14.0
150,13.0
151,13.0
152,14.0
153,13.0
154,11.0
155,12.0
156,14.0
157,14.0
158,14.0
159,13.0
160,12.0
161,12.0
162,12.0
163,13.0
164,13.0
165,11.0
166,11.0
167,9.0
168,8.0
169,8.0
170,8.0
171,7.0
172,7.0
173,7.0
174,6.0
175,6.0
176,6.0
177,6.0
178,6.0
179,6.0
180,7.0
181,7.0
182,7.0
183,7.0
184,6.0
185,6.0
186,5.0
187,5.0
188,5.0
189,5.0
190,5.0
191,5.0
192,5.0
193,4.0
194,4.0
195,4.0
196,4.0
197,4.0
198,4.0
199,4.0
200,4.0
201,4.0
202,4.0
203,4.0
204,5.0
205,5.0
206,5.0
207,5.0
208,5.0
209,5.0
210,5.0
211,5.0
212,5.0
213,5.0
214,4.0
215,4.0
216,5.0
217,5.0
218,5.0
219,5.0
220,5.0
221,5.0
222,5.0
223,5.0
224,5.0
225,5.0
226,5.0
227,4.0
228,4.0
229,4.0
230,4.0
231,4.0
232,3.0
233,3.0
234,3.0
235,3.0
236,3.0
237,3.0
238,3.0
