,Day,total_screened,positive_detected
0,63.0,870.0,0.0
1,70.0,870.0,4.0
2,77.0,874.0,12.0
3,84.0,879.0,21.0
4,91.0,885.0,41.0
5,98.0,891.0,40.0
6,105.0,897.0,55.0
7,112.0,902.0,37.0
8,119.0,887.0,16.0
9,126.0,874.0,8.0
10,133.0,875.0,8.0
11,140.0,874.0,5.0
12,147.0,872.0,2.0
13,154.0,871.0,2.0
14,161.0,870.0,0.0
15,168.0,870.0,0.0
16,175.0,870.0,0.0
17,182.0,870.0,1.0
18,189.0,871.0,0.0
19,196.0,870.0,0.0
20,203.0,870.0,0.0
21,210.0,870.0,1.0
22,217.0,871.0,1.0
23,224.0,870.0,1.0
24,231.0,871.0,0.0
25,238.0,870.0,2.0
